frame_number,track_id,car_bbox,car_bbox_score,license_plate_bbox,license_plate_bbox_score,license_plate_number,license_text_score
223,3.0,[3.0690057277679443 537.9030151367188 332.94915771484375 842.4328002929688],0.9190669655799866,[227.49072265625 192.10177612304688 287.0508117675781 221.52622985839844],0.8949875235557556,JR16L9H,0.008350091135798522
224,3.0,[3.034029483795166 539.828369140625 327.61395263671875 848.00341796875],0.9181893467903137,[223.9969940185547 193.92860412597656 283.7757568359375 224.6101837158203],0.8970344662666321,BX19A9A,0.016825076593177075
